题目编号,题目标题,素材模态,能力类型,选项形式,有效作答人数,严格完全识别率,平均部分标签得分,平均标签召回率,平均标签准确率,平均非标准标签误选率,同能力校正题总相关,高低27%组D值,平均强度匹配得分,被试级平均强度,最大敏感性差值,统计预警项数,统计预警原因,统计初筛建议
判别参考,,,,,≥15,<0.25预警（多选须结合部分得分）,,,,,≥0.15,≥0.20,,,<0.10,越少越好,,统计初筛，须内容复核
ITEM-00109,88,音频,情绪推理,多选题,49.0,0.061224489795918366,0.4174000000000001,0.4489795918367347,0.4224489795918367,0.5775510204081633,-0.00802643703183297,0.0,0.35459183673469385,3.685034013605442,0.0163686274509805,3,严格完全识别率<0.25；校正题总相关<0.15；D值<0.20,负相关复核：同时检查样本、维度、答案键与题意
ITEM-00139,37,图像,情绪推理,多选题,64.0,0.03125,0.42798593749999997,0.40625,0.5158854166666667,0.48411458333333335,0.09956278193761042,0.058823529411764705,0.3359375,3.7888020833333336,0.005731651785714276,3,严格完全识别率<0.25；校正题总相关<0.15；D值<0.20,修改后补测；结合选项分布与专家复核
ITEM-00078,89,图像,情绪推理,多选题,64.0,0.046875,0.5110203125,0.5390625,0.5544270833333333,0.44557291666666665,-0.055430151394825294,-0.058823529411764705,0.392578125,3.87421875,0.009424857954545507,3,严格完全识别率<0.25；校正题总相关<0.15；D值<0.20,负相关复核：同时检查样本、维度、答案键与题意
ITEM-00028,24,图像,情绪识别,单选题,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,,1.0,0.25,4.666666666666667,0.08333333333333331,2,样本量<15；校正题总相关不可计算,需要补充样本后再判断
ITEM-00024,57,视频,情绪识别,单选题,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,,1.0,0.25,4.333333333333333,0.0,2,样本量<15；校正题总相关不可计算,需要补充样本后再判断
ITEM-00025,60,视频,情绪识别,单选题,4.0,0.5,0.5,0.5,0.5,0.5,,1.0,0.25,4.5,0.0,2,样本量<15；校正题总相关不可计算,需要补充样本后再判断
ITEM-00017,10,视频,情绪识别,单选题,6.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.23354968324845687,0.0,0.7083333333333334,4.166666666666667,0.0,2,样本量<15；D值<0.20,需要补充样本后再判断
ITEM-00113,36,图像,情绪识别,单选题,7.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.4166666666666669,1.0,0.14285714285714285,4.142857142857143,0.0,2,样本量<15；严格完全识别率<0.25,需要补充样本后再判断
ITEM-00030,42,图像,情绪识别,单选题,8.0,0.5,0.5,0.5,0.5,0.5,0.4008918628686365,0.0,0.4375,3.625,0.0,2,样本量<15；D值<0.20,需要补充样本后再判断
ITEM-00005,70,视频,情绪识别,单选题,8.0,0.5,0.5,0.5,0.5,0.5,-0.08873565094161139,0.5,0.46875,4.5,0.05555555555555558,2,样本量<15；校正题总相关<0.15,需要补充样本后再判断
ITEM-00114,38,图像,情绪识别,单选题,9.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.8888888888888888,0.5909090909090909,0.5,0.1111111111111111,3.888888888888889,0.0,2,样本量<15；严格完全识别率<0.25,需要补充样本后再判断
ITEM-00022,16,视频,情绪识别,单选题,9.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.2169304578186562,0.0,0.5,4.111111111111111,0.0,2,样本量<15；D值<0.20,需要补充样本后再判断
ITEM-00067,114,图像,情绪识别,单选题,9.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.22556657928456694,0.0,0.4444444444444444,3.6666666666666665,0.05555555555555558,2,样本量<15；D值<0.20,需要补充样本后再判断
ITEM-00020,13,视频,情绪识别,单选题,10.0,0.5,0.5,0.5,0.5,0.5,0.40451991747794536,0.0,0.325,4.4,0.0,2,样本量<15；D值<0.20,需要补充样本后再判断
ITEM-00117,47,图像,情绪识别,单选题,10.0,0.2,0.2,0.2,0.2,0.8,0.21128856368212914,0.5,0.2,4.3,0.018181818181818188,2,样本量<15；严格完全识别率<0.25,需要补充样本后再判断
ITEM-00007,29,图像,情绪识别,单选题,13.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.8461538461538461,0.40766797987845693,0.3333333333333333,0.1346153846153846,3.769230769230769,0.0,2,样本量<15；严格完全识别率<0.25,需要补充样本后再判断
ITEM-00074,121,文本,情绪识别,单选题,14.0,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.21428571428571427,0.19591793788175302,0.0,0.6428571428571429,4.285714285714286,0.049107142857142905,2,样本量<15；D值<0.20,需要补充样本后再判断
ITEM-00082,72,视频,情绪识别,多选题,15.0,0.2,0.6311200000000002,0.7,0.6222222222222221,0.3777777777777778,-0.039968038348871665,0.25,0.5916666666666667,3.944444444444444,0.039445000000000174,2,严格完全识别率<0.25；校正题总相关<0.15,负相关复核：同时检查样本、维度、答案键与题意
ITEM-00040,53,文本,情绪识别,单选题,16.0,0.625,0.625,0.625,0.625,0.375,0.0439233474380173,0.0,0.578125,4.6875,0.06944444444444442,2,校正题总相关<0.15；D值<0.20,低区分度：内容审查并考虑补测
ITEM-00061,109,图像,情绪识别,多选题,18.0,0.2777777777777778,0.7677277777777778,0.9444444444444444,0.7092592592592593,0.29074074074074074,-0.1794967682458736,-0.25,0.8194444444444444,4.128703703703703,0.023391812865497075,2,校正题总相关<0.15；D值<0.20,负相关复核：同时检查样本、维度、答案键与题意
ITEM-00050,92,图像,情绪识别,多选题,20.0,0.25,0.695015,0.725,0.7499999999999999,0.24999999999999994,-0.05425921863308766,0.0,0.56875,3.9875,0.03309595238095231,2,校正题总相关<0.15；D值<0.20,负相关复核：同时检查样本、维度、答案键与题意
ITEM-00094,88,音频,情绪识别,多选题,23.0,0.08695652173913043,0.3898608695652174,0.391304347826087,0.4202898550724638,0.5797101449275363,0.2059534650002201,0.16666666666666666,0.29891304347826086,3.6666666666666665,0.01391304347826089,2,严格完全识别率<0.25；D值<0.20,可能为困难题；内容确认后保留
ITEM-00107,81,视频,情绪推理,多选题,25.0,0.04,0.507716,0.4799999999999999,0.6199999999999999,0.38000000000000006,0.3703064483257642,0.16666666666666666,0.39666399999999996,4.169333333333333,0.054398142857142784,2,严格完全识别率<0.25；D值<0.20,可能为困难题；内容确认后保留
ITEM-00125,85,视频,情绪识别,多选题,26.0,0.15384615384615385,0.6331538461538462,0.641025641025641,0.6647435897435897,0.3352564102564103,0.28597969616233315,0.14285714285714285,0.5160115384615385,4.091025641025642,0.012937464387464348,2,严格完全识别率<0.25；D值<0.20,可能为困难题；内容确认后保留
ITEM-00104,23,文本,情绪推理,单选题,27.0,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.037037037037037035,-0.20801257358446099,0.0,0.8796296296296297,4.666666666666667,0.06641123882503186,2,校正题总相关<0.15；D值<0.20,负相关复核：同时检查样本、维度、答案键与题意
ITEM-00095,59,文本,情绪识别,多选题,28.0,0.32142857142857145,0.7787464285714284,0.875,0.7464285714285713,0.25357142857142856,0.057655006053175306,-0.14285714285714285,0.7723214285714286,4.3273809523809526,0.023399014778325122,2,校正题总相关<0.15；D值<0.20,低区分度：内容审查并考虑补测
ITEM-00145,69,音频,情绪识别,多选题,29.0,0.034482758620689655,0.4829310344827587,0.5,0.5310344827586205,0.46896551724137936,0.16448792373994223,0.14285714285714285,0.43103448275862066,3.5775862068965516,5.551115123125783e-17,2,严格完全识别率<0.25；D值<0.20,修改后补测；结合选项分布与专家复核
ITEM-00090,56,音频,情绪识别,多选题,29.0,0.13793103448275862,0.6533758620689656,0.7931034482758621,0.6160919540229886,0.38390804597701156,0.1646595161666548,0.0,0.6336206896551724,4.139655172413793,0.02177919540229889,2,严格完全识别率<0.25；D值<0.20,修改后补测；结合选项分布与专家复核
ITEM-00106,77,视频,情绪推理,单选题,31.0,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.5161290322580645,-0.005002501876563878,0.125,0.41935483870967744,4.516129032258065,0.029325513196480968,2,校正题总相关<0.15；D值<0.20,负相关复核：同时检查样本、维度、答案键与题意
ITEM-00045,2,音频,情绪识别,单选题,31.0,0.2903225806451613,0.2903225806451613,0.2903225806451613,0.2903225806451613,0.7096774193548387,0.044092670828725485,0.0,0.1935483870967742,4.161290322580645,0.02561669829222013,2,校正题总相关<0.15；D值<0.20,低区分度：内容审查并考虑补测
ITEM-00144,118,文本,情绪推理,单选题,31.0,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.5483870967741935,0.03811161074459465,0.125,0.3709677419354839,3.903225806451613,0.027370478983382185,2,校正题总相关<0.15；D值<0.20,低区分度：内容审查并考虑补测
ITEM-00149,60,视频,情绪推理,单选题,33.0,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.6363636363636364,0.08280786712108253,0.125,0.3333333333333333,4.090909090909091,0.01576576576576577,2,校正题总相关<0.15；D值<0.20,低区分度：内容审查并考虑补测
ITEM-00142,68,文本,情绪推理,单选题,33.0,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.6060606060606061,0.13157104829118277,0.125,0.3484848484848485,3.878787878787879,0.0050505050505050275,2,校正题总相关<0.15；D值<0.20,低区分度：内容审查并考虑补测
ITEM-00010,63,文本,情绪识别,多选题,33.0,0.2727272727272727,0.7013060606060606,0.7878787878787878,0.6909090909090909,0.3090909090909091,0.07230840224245516,0.0,0.6439393939393939,4.007070707070707,0.04007463203463202,2,校正题总相关<0.15；D值<0.20,低区分度：内容审查并考虑补测
ITEM-00009,7,音频,情绪识别,单选题,35.0,0.4,0.4,0.4,0.4,0.6,-0.1687124501902926,-0.1111111111111111,0.21428571428571427,3.742857142857143,0.021621621621621623,2,校正题总相关<0.15；D值<0.20,负相关复核：同时检查样本、维度、答案键与题意
ITEM-00108,59,音频,情绪推理,多选题,35.0,0.08571428571428572,0.39660000000000006,0.45714285714285713,0.38666666666666666,0.6133333333333334,0.25045486009735757,0.1111111111111111,0.4107142857142857,3.90952380952381,0.03242481203007519,2,严格完全识别率<0.25；D值<0.20,可能为困难题；内容确认后保留
ITEM-00102,57,视频,情绪推理,多选题,35.0,0.22857142857142856,0.6742914285714287,0.7571428571428571,0.6428571428571429,0.35714285714285715,0.33783907877996283,0.1111111111111111,0.6357142857142857,4.083333333333333,0.0,2,严格完全识别率<0.25；D值<0.20,可能为困难题；内容确认后保留
